similarity,stsb:test,mean
COS+SUP,79.55,79.55
WRD+SUP,79.05,79.05
WRD+SUP+L0,79.55,79.55
WRD+SUP+L1,74.50,74.50
WRD+SUP+L2,75.42,75.42
WRD+SUP+L3,76.33,76.33
WRD+SUP+L4,77.61,77.61
ROTS+SUP0,79.55,79.55
ROTS+SUP1,79.73,79.73
ROTS+SUP2,79.73,79.73
ROTS+SUP3,79.54,79.54
ROTS+SUP4,79.74,79.74
ROTS+SUPmean,79.81,79.81
ROTS+SUPmax,79.74,79.74
ROTS+SUPmin,79.29,79.29
ROTS+SUPlast,79.37,79.37
COS+SWC,79.70,79.70
WRD+SWC,77.98,77.98
WRD+SWC+L0,79.71,79.71
WRD+SWC+L1,72.47,72.47
WRD+SWC+L2,73.87,73.87
WRD+SWC+L3,75.08,75.08
WRD+SWC+L4,76.34,76.34
ROTS+SWC0,78.61,78.61
ROTS+SWC1,78.67,78.67
ROTS+SWC2,78.51,78.51
ROTS+SWC3,78.37,78.37
ROTS+SWC4,78.27,78.27
ROTS+SWCmean,78.66,78.66
ROTS+SWCmax,78.27,78.27
ROTS+SWCmin,78.57,78.57
ROTS+SWClast,78.09,78.09
COS+WR,79.53,79.53
WRD+WR,79.03,79.03
WRD+WR+L0,79.53,79.53
WRD+WR+L1,74.50,74.50
WRD+WR+L2,75.36,75.36
WRD+WR+L3,76.19,76.19
WRD+WR+L4,77.47,77.47
ROTS+WR0,78.32,78.32
ROTS+WR1,78.53,78.53
ROTS+WR2,78.43,78.43
ROTS+WR3,78.24,78.24
ROTS+WR4,78.28,78.28
ROTS+WRmean,78.52,78.52
ROTS+WRmax,78.31,78.31
ROTS+WRmin,78.10,78.10
ROTS+WRlast,78.00,78.00
